$ wsl -d Ubuntu -- sh -c "grep -E 'MPI|starting|finished|total summaries|total_params|sent|chunk' /home/dddy/.vs/HSBacktest/out/build/linux-debug/HSBacktest/logs/backtest.1.log"
[exit 0]
2026-06-07 22:26:10.245 | info | 18325 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.250 | info | 18258 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.258 | info | 18320 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.261 | info | 18259 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.260 | info | 18321 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.269 | info | 18243 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.269 | info | 18312 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.275 | info | 18241 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.280 | info | 18326 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.289 | info | 18327 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.300 | info | 18254 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.302 | info | 18242 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.299 | info | 18315 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.302 | info | 18324 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.302 | info | 18260 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.308 | info | 18319 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.306 | info | 18256 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.311 | info | 18237 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.330 | info | 18328 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.331 | info | 18323 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.347 | info | 18322 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.350 | info | 18314 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.352 | info | 18226 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.356 | info | 18253 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.352 | info | 18239 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.359 | info | 18238 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.364 | info | 18318 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.367 | info | 18257 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.370 | info | 18325 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.375 | info | 18317 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.375 | info | 18240 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.379 | info | 18243 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.377 | info | 18258 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.391 | info | 18255 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.393 | info | 18235 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
2026-06-07 22:26:10.396 | info | 18320 | BacktestEngine.cpp:95 | BacktestEngine::Run - starting backtest with 3 stocks, 12 rebalance periods
